Object ID,Object Name,Primary Object Type,Secondary Object Type,Max Potential Damage: Structure,Max Potential Damage: Content,Ground Elevation,X Coordinate,Y Coordinate,Aggregation Label: Census Block,Ground Floor Height,Extraction Method,Damage Function: Structure,Damage Function: Content,geometry,Zoning_map,Land_use_map
573827752,573827752,RES,RES1-3SNB,671177.646,335588.823,11.99108448,-79.93017988,32.77681959,450000000000000.0,1,centroid,RES1-3SNB,RES1-3SNB,POINT (-79.93017988 32.776819591),LB,City Centers
573827760,573827760,COM,COM4,1043926.22,1043926.22,12.34156684,-79.92969169,32.7772161,450000000000000.0,1,centroid,COM4,COM4,POINT (-79.92969169 32.777216102),SR-5,Neighborhood
573831707,573831707,RES,RES1-3SNB,378749.792,189374.896,10.99989049,-79.93108959,32.77520195,450000000000000.0,1,centroid,RES1-3SNB,RES1-3SNB,POINT (-79.93108959 32.775201945),SR-5,Neighborhood
573831709,573831709,RES,RES1-3SNB,411877.07,205938.535,10.75213775,-79.93110512,32.77529673,450000000000000.0,1,centroid,RES1-3SNB,RES1-3SNB,POINT (-79.93110512 32.775296725),SR-3,Neighborhood
573831721,573831721,RES,RES1-3SWB,694451.773,347225.886,11.51825849,-79.93119518,32.77548877,450000000000000.0,1,centroid,RES1-3SWB,RES1-3SWB,POINT (-79.93119518 32.775488774),SR-3,Neighborhood
573831723,573831723,PUB,GOV1,74655.0246,74655.0246,11.51825849,-79.93119518,32.77548877,450000000000000.0,1,centroid,GOV1,GOV1,POINT (-79.93119518 32.775488774),SR-3,Neighborhood
574267658,574267658,PUB,GOV1,26006.9618,26006.9618,11.4503749,-79.92712901,32.77418197,450000000000000.0,1,centroid,GOV1,GOV1,POINT (-79.92712901 32.774181965),DR-1F,Park
574267662,574267662,COM,COM8,68212.5553,68212.5553,11.4503749,-79.92712901,32.77418197,450000000000000.0,1,centroid,COM8,COM8,POINT (-79.92712901 32.774181965),DR-1F,Park
574267664,574267664,RES,RES1-2SNB,471394.76,235697.38,6.805437192,-79.92564955,32.77451093,450000000000000.0,1,centroid,RES1-2SNB,RES1-2SNB,POINT (-79.92564955 32.774510932),DR-1F,Neighborhood
574267667,574267667,RES,RES3A,271352.245,135676.122,9.558259026,-79.92671964,32.77469439,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.92671964 32.774694393),DR-1F,Neighborhood
574267733,574267733,RES,RES1-1SNB,340174.71,170087.355,13.29612274,-79.92785069,32.77517634,450000000000000.0,1,centroid,RES1-1SNB,RES1-1SNB,POINT (-79.92785069 32.775176339),SR-5,Neighborhood
574267741,574267741,RES,RES1-3SNB,351754.28,175877.14,13.42141139,-79.92773388,32.77536613,450000000000000.0,1,centroid,RES1-3SNB,RES1-3SNB,POINT (-79.92773388 32.775366131),SR-5,Neighborhood
574268013,574268013,RES,RES1-1SNB,299665.915,149832.957,13.11719538,-79.92746112,32.77552897,450000000000000.0,1,centroid,RES1-1SNB,RES1-1SNB,POINT (-79.92746112 32.775528974),SR-5,Neighborhood
574268245,574268245,RES,RES3A,725169.317,362584.658,9.171968507,-79.93103707,32.77252521,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.93103707 32.772525209),SR-3,Neighborhood
574346711,574346711,RES,RES1-1SNB,271013.788,135506.894,5.495114687,-79.9256555,32.7766865,450000000000000.0,1,centroid,RES1-1SNB,RES1-1SNB,POINT (-79.9256555 32.7766865),DR-1F,Neighborhood
574346712,574346712,RES,RES1-1SNB,217039.153,108519.576,6.523568617,-79.92591323,32.77651339,450000000000000.0,1,centroid,RES1-1SNB,RES1-1SNB,POINT (-79.92591323 32.776513393),DR-1F,Neighborhood
574346715,574346715,RES,RES1-1SNB,286480.0,143240.0,5.896219933,-79.92568075,32.77655707,450000000000000.0,1,centroid,RES1-1SNB,RES1-1SNB,POINT (-79.92568075 32.776557065),DR-1F,Neighborhood
574346730,574346730,RES,RES3A,512599.555,256299.777,12.92163503,-79.92961524,32.77494158,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.92961524 32.774941576),SR-5,Neighborhood
574346731,574346731,RES,RES3A,648409.579,324204.789,12.2211983,-79.93007543,32.77492148,450000000000000.0,1,centroid,RES3A,RES3A,POINT (-79.93007543 32.774921478),SR-5,Neighborhood
