object_id,object_name,primary_object_type,secondary_object_type,max_damage_structure,max_damage_content,ground_elevtn,Aggregation Label: Census Block,ground_flht,extract_method,fn_damage_structure
574371908,574371908,RES,RES3A,476457.776,238228.888,5.132707875,4.5019E+14,1,centroid,RES3A
574371916,574371916,RES,RES3A,517897.26,258948.63,5.673993942,4.5019E+14,1,centroid,RES3A
574371922,574371922,RES,RES3A,589127.191,294563.595,5.890710023,4.5019E+14,1,centroid,RES3A
574373106,574373106,RES,RES1-2SNB,396493.494,198246.747,4.954717997,4.5019E+14,1,centroid,RES1-2SNB
574409905,574409905,RES,RES3A,622659.146,311329.573,7.407922838,4.5019E+14,1,centroid,RES3A
574409907,574409907,COM,COM7,62265.9146,93398.8719,7.407922838,4.5019E+14,1,centroid,COM7
574421861,574421861,RES,RES3A,459466.161,229733.08,4.658191528,4.5019E+14,1,centroid,RES3A
574422147,574422147,RES,RES3A,897877.103,448938.551,6.020762747,4.5019E+14,1,centroid,RES3A
574431445,574431445,RES,RES1-2SNB,269317.399,134658.699,4.453472642,4.5019E+14,1,centroid,RES1-2SNB
574431449,574431449,RES,RES3A,587112.446,293556.223,3.588317453,4.5019E+14,1,centroid,RES3A
574431457,574431457,RES,RES1-1SNB,286959.597,143479.798,4.649262173,4.5019E+14,1,centroid,RES1-1SNB
574431607,574431607,RES,RES1-2SNB,259280.726,129640.363,4.639566641,4.5019E+14,1,centroid,RES1-2SNB
574485618,574485618,RES,RES1-1SNB,112687.2,56343.6,7.211578718,4.5019E+14,1,centroid,RES1-1SNB
574485620,574485620,RES,RES1-1SNB,109491.491,54745.7455,7.211578718,4.5019E+14,1,centroid,RES1-1SNB
574485621,574485621,RES,RES1-1SNB,67851.0499,33925.5249,7.211578718,4.5019E+14,1,centroid,RES1-1SNB
574485658,574485658,RES,RES1-1SNB,49582.368,24791.184,6.473641512,4.5019E+14,1,centroid,RES1-1SNB
574485660,574485660,RES,RES1-1SNB,88320.5879,44160.2939,6.473641512,4.5019E+14,1,centroid,RES1-1SNB
574486697,574486697,RES,RES1-1SNB,88320.5879,44160.2939,6.473641512,4.5019E+14,1,centroid,RES1-1SNB
574486739,574486739,RES,RES1-1SNB,193814.392,96907.1961,7.857602351,4.5019E+14,1,centroid,RES1-1SNB
574486740,574486740,RES,RES1-1SNB,152615.196,76307.5982,7.857602351,4.5019E+14,1,centroid,RES1-1SNB
574486741,574486741,RES,RES1-1SNB,152049.256,76024.6281,7.857602351,4.5019E+14,1,centroid,RES1-1SNB
574486749,574486749,RES,RES1-1SNB,190054.846,95027.4233,7.857602351,4.5019E+14,1,centroid,RES1-1SNB
574486762,574486762,RES,RES1-2SNB,237255.804,118627.902,6.284586445,4.5019E+14,1,centroid,RES1-2SNB
574486766,574486766,RES,RES1-2SNB,266250.638,133125.319,6.284586445,4.5019E+14,1,centroid,RES1-2SNB
574486771,574486771,RES,RES1-1SNB,214980.867,107490.433,6.284586445,4.5019E+14,1,centroid,RES1-1SNB
574486800,574486800,RES,RES1-1SNB,146198.845,73099.4228,4.491402943,4.5019E+14,1,centroid,RES1-1SNB
574486823,574486823,RES,RES1-1SNB,203264.754,101632.377,3.892720027,4.5019E+14,1,centroid,RES1-1SNB
574486826,574486826,RES,RES1-2SNB,259280.726,129640.363,3.878633931,4.5019E+14,1,centroid,RES1-2SNB
574486830,574486830,RES,RES3A,480189.335,240094.667,4.007586081,4.5019E+14,1,centroid,RES3A
574486832,574486832,RES,RES1-2SNB,216903.661,108451.83,3.530678117,4.5019E+14,1,centroid,RES1-2SNB
574486842,574486842,RES,RES1-2SNB,224152.369,112076.184,4.433450331,4.5019E+14,1,centroid,RES1-2SNB
574486851,574486851,RES,RES1-1SNB,229640.236,114820.118,6.583678964,4.5019E+14,1,centroid,RES1-1SNB
574486957,574486957,RES,RES1-1SNB,190416.126,95208.063,7.059406959,4.5019E+14,1,centroid,RES1-1SNB
574486971,574486971,RES,RES1-1SNB,195637.5,97818.75,4.777656605,4.5019E+14,1,centroid,RES1-1SNB
574486974,574486974,RES,RES1-1SNB,83839.2768,41919.6384,5.878535657,4.5019E+14,1,centroid,RES1-1SNB
573475701,573475701,RES,RES3A,598728.541,299364.27,8.664779897,4.5019E+14,1,centroid,RES3A
573475712,573475712,RES,RES3B,569736.084,284868.042,10.15837926,4.5019E+14,1,centroid,RES3B
573789241,573789241,RES,RES1-2SWB,278399.153,139199.576,4.880106981,4.5019E+14,1,centroid,RES1-2SWB
573789165,573789165,RES,RES1-1SNB,121806.349,60903.1745,6.851357018,4.5019E+14,1,centroid,RES1-1SNB
573789719,573789719,RES,RES3A,251233.21,125616.605,3.980367799,4.5019E+14,1,centroid,RES3A
573794192,573794192,RES,RES3A,159163.954,79581.9772,8.535990056,4.5019E+14,1,centroid,RES3A
574268561,574268561,RES,RES1-3SNB,434213.667,217106.833,5.754943623,4.5019E+14,1,centroid,RES1-3SNB
