Object ID,Object Name,Primary Object Type,Secondary Object Type,Max Potential Damage: Structure,Max Potential Damage: Content,Ground Elevation,X Coordinate,Y Coordinate,Aggregation Label: Census Block,Finished Floor Height,Extraction Method,Damage Function: Structure,Damage Function: Content
573789181,573789181,RES,RES1-2SNB,206939.675,103469.837,8.957930724,-79.93621898,32.77660752,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573789340,573789340,RES,RES1-2SNB,327023.262,163511.631,4.689106159,-79.93840551,32.77481726,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573789361,573789361,RES,RES1-1SNB,298957.196,149478.598,6.583678964,-79.93801322,32.77561288,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
573795548,573795548,RES,RES1-2SNB,469463.63,234731.815,3.871138764,-79.93959894,32.77423144,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
573800815,573800815,RES,RES1-3SWB,399414.321,199707.16,7.180729011,-79.94320128,32.77736444,4.5019E+14,1,centroid,RES1-3SWB,RES1-3SWB
573831730,573831730,RES,RES3A,205336.005,102668.002,11.93792996,-79.93231375,32.77571708,4.5019E+14,1,centroid,RES3A,RES3A
573860243,573860243,RES,RES3B,493484.753,246742.376,5.002420096,-79.94073347,32.77373997,4.5019E+14,1,centroid,RES3B,RES3B
573868263,573868263,RES,RES1-3SWB,197681.629,98840.8145,5.988282908,-79.94554233,32.7773873,4.5019E+14,1,centroid,RES1-3SWB,RES1-3SWB
574268207,574268207,RES,RES3A,427020.79,213510.395,8.950609208,-79.93066806,32.77219069,4.5019E+14,1,centroid,RES3A,RES3A
574268219,574268219,RES,RES3B,352245.479,176122.739,9.261483422,-79.93104665,32.77194521,4.5019E+14,1,centroid,RES3B,RES3B
574268595,574268595,RES,RES3A,443323.388,221661.694,4.94717355,-79.93307183,32.77031931,4.5019E+14,1,centroid,RES3A,RES3A
574268597,574268597,RES,RES1-2SNB,437360.158,218680.079,5.201977157,-79.93287143,32.77035066,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574268706,574268706,RES,RES3A,521059.31,260529.655,4.805387237,-79.93405413,32.77189537,4.5019E+14,1,centroid,RES3A,RES3A
574268907,574268907,RES,RES3B,489917.358,244958.679,5.609749989,-79.93643612,32.77139548,4.5019E+14,1,centroid,RES3B,RES3B
574268926,574268926,RES,RES3A,625595.694,312797.847,5.074223358,-79.93722348,32.77680347,4.5019E+14,1,centroid,RES3A,RES3A
574269135,574269135,RES,RES3A,318561.495,159280.747,3.712516485,-79.93826701,32.77391406,4.5019E+14,1,centroid,RES3A,RES3A
574269195,574269195,RES,RES1-2SNB,432462.562,216231.281,7.467605706,-79.9371539,32.77514123,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574296073,574296073,RES,RES1-1SNB,333941.904,166970.952,4.209198799,-79.94069038,32.77215708,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574346751,574346751,RES,RES1-2SNB,359456.617,179728.308,13.39830169,-79.93008132,32.77574536,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574371920,574371920,RES,RES3A,428813.993,214406.996,6.443989374,-79.93667006,32.77360194,4.5019E+14,1,centroid,RES3A,RES3A
574372557,574372557,COM,COM4,388628.286,388628.286,13.25995007,-79.92938979,32.77611196,4.5019E+14,1,centroid,COM4,COM4
574372970,574372970,RES,RES1-2SNB,158239.456,79119.7281,10.31465529,-79.93565177,32.77690808,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574372985,574372985,RES,RES1-2SNB,190842.768,95421.384,8.877666262,-79.93591088,32.77734728,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574409645,574409645,PUB,REL1,464815.304,464815.304,10.92050289,-79.93338057,32.776663,4.5019E+14,1,centroid,REL1,REL1
574409651,574409651,COM,COM4,158221.99,158221.99,12.52613552,-79.93305761,32.77698208,4.5019E+14,1,centroid,COM4,COM4
574409955,574409955,RES,RES1-2SNB,327402.067,163701.033,5.747922477,-79.93775815,32.77094071,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574409957,574409957,RES,RES1-3SNB,346937.745,173468.872,5.75426075,-79.93765334,32.77105864,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
574421673,574421673,COM,COM7,102504.455,153756.682,11.52017961,-79.92907633,32.7771126,4.5019E+14,1,centroid,COM7,COM7
574431443,574431443,RES,RES1-1SNB,287437.24,143718.62,4.927836849,-79.94106447,32.77369713,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574486723,574486723,RES,RES1-2SWB,271755.725,135877.862,6.211811284,-79.9462719,32.77714772,4.5019E+14,1,centroid,RES1-2SWB,RES1-2SWB
574486752,574486752,RES,RES1-1SNB,122431.721,61215.8606,7.857602351,-79.9427401,32.7774164,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574486758,574486758,RES,RES1-1SNB,194521.546,97260.773,5.292727578,-79.94238262,32.77717853,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574486770,574486770,RES,RES1-2SNB,222200.794,111100.397,6.284586445,-79.94233945,32.77428307,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574486776,574486776,RES,RES1-2SNB,265832.443,132916.221,6.284586445,-79.94233945,32.77428307,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574486861,574486861,RES,RES1-2SNB,273499.346,136749.673,6.973802328,-79.93592137,32.77562298,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574486874,574486874,RES,RES1-1SNB,209170.815,104585.407,8.357450673,-79.93542766,32.77499328,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574486913,574486913,RES,RES1-3SNB,476983.788,238491.894,6.6578977,-79.93355832,32.77170883,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
574486922,574486922,RES,RES1-1SNB,198413.344,99206.6723,5.276184942,-79.93337915,32.77092373,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574486924,574486924,RES,RES1-1SNB,183741.905,91870.9526,5.276184942,-79.93337915,32.77092373,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574486963,574486963,RES,RES1-1SNB,132360.047,66180.0239,6.748302775,-79.93784205,32.77716931,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574487065,574487065,RES,RES1-1SNB,175246.325,87623.1627,10.10845607,-79.93516687,32.77710336,4.5019E+14,1,centroid,RES1-1SNB,RES1-1SNB
574487081,574487081,RES,RES1-2SNB,298092.009,149046.004,9.743710827,-79.93463201,32.77730365,4.5019E+14,1,centroid,RES1-2SNB,RES1-2SNB
574488769,574488769,RES,RES1-3SNB,350217.527,175108.763,13.33139586,-79.92893496,32.77614694,4.5019E+14,1,centroid,RES1-3SNB,RES1-3SNB
573800692,573800692,RES,RES3A,561796.474,280898.237,4.752157237,-79.94221862,32.77355041,4.5019E+14,1,centroid,RES3A,RES3A
573800698,573800698,PUB,GOV1,238917.062,238917.062,4.688891441,-79.94320565,32.77510739,4.5019E+14,1,centroid,GOV1,GOV1
573800714,573800714,RES,RES3A,495571.048,247785.524,4.547155581,-79.94176831,32.77240815,4.5019E+14,1,centroid,RES3A,RES3A
573800716,573800716,RES,RES3B,339046.689,169523.344,4.726986007,-79.94191753,32.77250284,4.5019E+14,1,centroid,RES3B,RES3B
